Name Version Type Abs_path
@protobufjs/utf8 1.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@types/long 4.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
@types/node 12.19.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
abort-controller 3.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
agent-base 6.0.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
debug 4.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
ansi-styles 4.3.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
arrify 2.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
async 1.5.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
base64-js 1.3.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
bignumber.js 9.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
buffer-equal-constant-time 1.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
color-convert 2.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
color-name 1.1.4 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
decamelize 1.2.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
ecdsa-sig-formatter 1.0.11 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
emoji-regex 8.0.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
event-target-shim 5.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
extend 3.0.2 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
fast-text-encoding 1.0.3 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
find-up 4.1.0 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
gaxios 4.0.1 npm "C:\Users\Ahad\OneDrive\Code\Informatikk\SBOM Command line\mainFolder\subFolder5\package-lock.json"
